N	Jacobi	Gauss_seidel	t_Jacobi			t_Gauss_seidel
10	82	48		5.3337499999999999E-004		4.2297000000000000E-004
25	386	237		3.1812123999999997E-002		3.1171154000000000E-002
50	961	653		0.40725328000000000		0.48835862400000002
75	1348	1043		1.7541157119999999		2.5370496000000000
100	1500	1321		5.0081920000000002		7.5923614720000003
125	1559	1479		19.353020416000000		21.331752959999999
150	1564	1541		37.303193600000000		47.075254272000002
200	1455	1580		67.711066111999997		99.890274304000002
